25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"100,00","100,00","98,36","94,38","86,11","67,76","28,30","10,80","22,68",1639,"9,30"
"100,00","100,00","98,42","94,66","85,89","67,68","26,80","14,90","22,54",1642,"8,90"
"100,00","100,00","98,06","94,59","86,27","67,79","27,60","16,80","22,82",1621,"10,20"
"100,00","100,00","98,20","94,53","85,77","70,19","29,80","16,80","22,74",1637,"10,40"
"100,00","99,56","97,75","93,71","85,01","69,02","35,20","16,70","22,65",1642,"9,40"
"100,00","99,52","97,73","93,82","84,65","65,03","27,80","13,60","22,46",1635,"7,90"
"100,00","100,00","98,21","94,49","85,73","69,73","37,10","16,60","22,48",1637,"10,40"
"100,00","99,56","97,85","93,83","86,93","68,56","33,50","17,90","22,52",1642,"10,40"
"100,00","99,58","97,93","93,88","85,12","69,67","38,00","14,90","21,47",1632,"9,60"
"100,00","99,52","97,38","93,60","84,42","67,13","36,30","16,70","22,12",1646,"9,40"
"100,00","99,42","97,72","93,99","85,72","70,68","28,70","14,10","22,48",1637,"8,70"
"100,00","99,53","98,34","94,93","86,61","70,17","25,50","12,70","21,94",1630,"10,00"
"100,00","100,00","98,25","94,69","84,47","66,52","38,20","11,70","22,57",1637,"11,30"
"100,00","99,48","97,83","93,94","85,24","67,37","37,70","15,60","22,48",1642,"10,80"
"100,00","99,58","97,84","94,07","85,37","66,64","27,80","15,40","22,82",1629,"10,10"
"100,00","99,43","97,49","94,04","86,26","70,51","31,70","13,90","21,20",1636,"10,90"
"100,00","99,57","97,71","94,29","85,99","70,45","26,70","15,40","21,55",1633,"10,20"
"100,00","99,52","97,88","94,56","85,73","69,27","33,40","12,90","21,75",1629,"11,30"
"100,00","99,53","97,88","94,51","84,76","67,21","36,90","9,10","22,10",1635,"10,50"
"100,00","99,52","97,84","94,28","83,07","65,07","32,40","13,90","21,74",1636,"10,90"
"100,00","99,52","97,76","93,88","84,65","66,84","28,30","11,30","22,62",1639,"11,40"
"100,00","99,42","97,72","93,90","85,60","69,68","31,40","14,10","21,76",1636,"11,50"
"100,00","99,37","97,67","93,95","84,75","66,93","27,20","4,50","22,47",1641,"10,90"
"100,00","100,00","100,00","99,20","90,50","71,40","42,30","13,40","22,80",1628,"14,70"
"100,00","100,00","100,00","99,50","88,00","67,40","42,20","13,70","22,90",1636,"13,70"
"100,00","100,00","100,00","98,80","88,20","70,00","43,50","13,60","23,00",1634,"15,10"
"100,00","100,00","100,00","98,80","87,20","66,10","43,90","14,00","22,80",1640,"14,50"
"100,00","100,00","100,00","98,80","88,90","66,00","43,20","13,00","23,60",1623,"13,80"
"100,00","100,00","100,00","99,40","88,90","67,70","43,80","13,80","23,30",1630,"14,70"
"100,00","100,00","100,00","99,10","86,40","64,00","43,20","13,50","23,60",1614,"13,40"
"100,00","100,00","100,00","93,30","89,30","65,00","42,00","13,60","23,20",1622,"14,00"
"100,00","100,00","100,00","97,30","87,60","63,60","44,40","14,40","23,70",1572,"15,50"
"100,00","100,00","100,00","97,50","87,00","64,30","43,20","14,10","24,00",1567,"14,20"
"100,00","100,00","100,00","100,00","77,00","37,78","40,00","12,00","22,10",1440,"7,40"
"100,00","100,00","100,00","100,00","77,91","36,31","39,00","13,00","22,10",1435,"7,70"
"100,00","100,00","100,00","100,00","77,97","40,26","39,00","15,00","22,90",1449,"7,20"
"100,00","100,00","100,00","100,00","77,97","37,61","37,00","13,00","22,00",1445,"7,10"
"100,00","100,00","98,89","95,57","85,65","62,19","39,00","12,00","22,40",1555,"11,00"
"100,00","100,00","98,89","95,39","85,45","61,28","40,00","14,00","22,70",1552,"14,50"
"100,00","100,00","98,97","95,53","86,93","62,07","39,00","12,00","22,20",1528,"12,70"
"100,00","100,00","99,11","95,51","87,90","62,63","39,00","12,00","22,30",1526,"12,70"
"100,00","100,00","100,00","100,00","77,72","40,40","38,00","12,00","22,50",1457,"7,70"
"100,00","100,00","100,00","100,00","78,00","41,68","39,00","13,00","22,80",1409,"7,40"
"100,00","100,00","100,00","100,00","75,83","36,30","39,00","10,00","22,50",1475,"9,90"
"100,00","100,00","100,00","99,90","95,70","91,40","59,00","21,00","30,30",1463,"6,70"
"100,00","100,00","100,00","99,90","96,90","91,90","60,00","22,00","31,40",1452,"8,40"
"100,00","100,00","99,90","99,90","97,90","93,30","54,00","16,00","28,60",1462,"13,30"
"100,00","100,00","99,90","99,80","98,20","95,30","54,00","16,00","31,40",1448,"4,40"
"100,00","100,00","100,00","99,80","96,60","92,20","53,00","15,00","30,20",1449,"7,70"
"100,00","100,00","100,00","99,90","95,50","91,00","54,00","16,00","30,90",1459,"5,40"
